Country_Code,Country_Name,Region,Income_Group,GDP_per_capita,Life_Expectancy,Child_Mortality,Access_Electricity,Health_Expenditure_Pct,Inflation_Rate,Trade_Pct_GDP,Internet_Usage_Pct,Log_GDP_per_capita,Income_Group_Code,Cluster
IRL,Ireland,Europe & Central Asia,High income,81827.6688873996,82.70243902439026,3.4,100.0,6.61860561,0.937842961189274,257.6527729104208,87.0000552425146,4.9129054865352675,3,2
JAM,Jamaica,Latin America & Caribbean,Upper middle income,6030.688964159207,71.532,18.8,98.9,6.96945572,3.905100008658723,67.10304836644916,70.8410169743356,3.780438938194587,2,0
EGY,"Egypt, Arab Republic of",Middle East & North Africa,Lower middle income,2962.9889202300265,71.213,24.8,100.0,4.5994668,9.152799593248035,41.12401715511079,57.2828663990195,3.471876575861962,1,0
MEX,Mexico,Latin America & Caribbean,Upper middle income,10369.555359352678,74.53,15.0,99.6,5.3013463,3.635961421270462,77.4619722509459,69.6321092705209,4.01580201415608,2,0
FIN,Finland,Europe & Central Asia,High income,48358.180777370086,81.9829268292683,2.4,100.0,9.22295189,1.024093929634307,80.56415029473666,89.6073851129779,4.68447893513991,3,2
PER,Peru,Latin America & Caribbean,Upper middle income,7037.008036926039,76.275,14.9,95.6,5.12525272,2.25212191358027,46.94350537544095,59.9505036049006,3.847449758434188,2,0
SLE,Sierra Leone,Sub-Saharan Africa,Low income,843.7125173041702,59.593,108.3,22.7,5.7052846,14.80499909060209,37.56195299672608,15.71370029,2.9267089297880093,0,1
LVA,Latvia,Europe & Central Asia,High income,17294.975160096918,75.3878048780488,3.9,100.0,6.86276913,2.81140920075624,125.29163170793008,86.13545644343,4.237945052890423,3,2
VUT,Vanuatu,East Asia & Pacific,Lower middle income,3635.623448781848,70.783,18.1,64.5,3.49615431,2.76252019386111,85.29237893492291,63.6493903087575,3.5606983347136594,1,0
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,31780.521706898948,77.691,5.5,100.0,6.88792992,2.25212191358027,67.10304836644916,66.48885468623226,4.50217468749338,3,2
AFG,Afghanistan,Middle East & North Africa,Low income,496.6025042584997,62.941,62.7,97.7,14.83131981,2.302372515168337,46.70989455141026,17.60000038,2.696882557339738,0,1
LBY,Libya,Middle East & North Africa,Upper middle income,9963.194890844828,72.941,11.6,68.5,5.54773426,-2.162178834705906,78.99396918501384,71.40409851,3.99844221336374,2,0
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,1562.3645888181284,66.496,54.8,90.6,4.99218798,0.9588127397031412,70.61424405515356,28.00460052,3.194060270691936,1,1
KWT,Kuwait,Middle East & North Africa,High income,31707.87374435514,81.96975609756099,8.9,100.0,5.18200397,1.09184802655856,91.68571238959534,99.5426764518489,4.501180816757514,3,2
COL,Colombia,Latin America & Caribbean,Upper middle income,6472.545449247049,76.793,13.5,99.4,7.83404827,3.523019327414469,37.558533980838966,65.0069007159493,3.811142201428265,2,0
ETH,Ethiopia,Sub-Saharan Africa,Low income,793.4732472189955,65.741,53.6,48.0,3.24287128,15.80963217193442,28.815293929260825,15.98460007,2.9000792775273085,0,1
